symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2018-11-12 00:00:00+00:00,331.28,349.78,330.34,348.37,6941500,66.256,69.956,66.068,69.674,34707500,0.0,1.0
TSLA,2018-11-13 00:00:00+00:00,338.73,344.7,332.2,333.16,5448600,67.746,68.94,66.44,66.632,27243000,0.0,1.0
TSLA,2018-11-14 00:00:00+00:00,344.0,347.11,337.15,342.7,5040300,68.8,69.422,67.43,68.54,25201500,0.0,1.0
TSLA,2018-11-15 00:00:00+00:00,348.44,348.58,339.04,342.33,4625700,69.688,69.716,67.808,68.466,23128500,0.0,1.0
TSLA,2018-11-16 00:00:00+00:00,354.31,355.7,345.12,345.19,7206200,70.862,71.14,69.024,69.038,36031000,0.0,1.0
TSLA,2018-11-19 00:00:00+00:00,353.47,366.75,352.88,356.34,9708900,70.694,73.35,70.576,71.268,48544500,0.0,1.0
TSLA,2018-11-20 00:00:00+00:00,347.49,349.8,333.55,341.75,8004700,69.498,69.96,66.71,68.35,40023500,0.0,1.0
TSLA,2018-11-21 00:00:00+00:00,338.19,353.1,337.4,352.0,4683500,67.638,70.62,67.48,70.4,23417500,0.0,1.0
TSLA,2018-11-23 00:00:00+00:00,325.83,337.5,325.55,334.345,4202642,65.166,67.5,65.11,66.869,21013210,0.0,1.0
TSLA,2018-11-26 00:00:00+00:00,346.0,346.22,325.0,325.0,7992100,69.2,69.244,65.0,65.0,39960500,0.0,1.0
TSLA,2018-11-27 00:00:00+00:00,343.92,346.96,335.5,340.05,6358300,68.784,69.392,67.1,68.01,31791500,0.0,1.0
TSLA,2018-11-28 00:00:00+00:00,347.87,348.28,342.21,345.99,4127600,69.574,69.656,68.442,69.198,20638000,0.0,1.0
TSLA,2018-11-29 00:00:00+00:00,341.17,347.5,339.55,347.0,3080700,68.234,69.5,67.91,69.4,15403500,0.0,1.0
TSLA,2018-11-30 00:00:00+00:00,350.48,351.6,338.26,341.83,5629100,70.096,70.32,67.652,68.366,28145500,0.0,1.0
TSLA,2018-12-03 00:00:00+00:00,358.49,366.0,352.0,360.0,8306500,71.698,73.2,70.4,72.0,41532500,0.0,1.0
TSLA,2018-12-04 00:00:00+00:00,359.7,368.68,352.0,356.05,8461900,71.94,73.736,70.4,71.21,42309500,0.0,1.0
TSLA,2018-12-06 00:00:00+00:00,363.06,367.38,350.76,356.01,7842508,72.612,73.476,70.152,71.202,39212540,0.0,1.0
TSLA,2018-12-07 00:00:00+00:00,357.97,379.49,357.65,369.0,11511200,71.594,75.898,71.53,73.8,57556000,0.0,1.0
TSLA,2018-12-10 00:00:00+00:00,365.15,365.98,353.12,360.0,6613500,73.03,73.196,70.624,72.0,33067500,0.0,1.0
TSLA,2018-12-11 00:00:00+00:00,366.76,372.17,360.23,369.91,6308800,73.352,74.434,72.046,73.982,31544000,0.0,1.0
TSLA,2018-12-12 00:00:00+00:00,366.6,371.91,365.16,369.42,5027000,73.32,74.382,73.032,73.884,25135000,0.0,1.0
TSLA,2018-12-13 00:00:00+00:00,376.79,377.44,366.75,370.15,7365900,75.358,75.488,73.35,74.03,36829500,0.0,1.0
TSLA,2018-12-14 00:00:00+00:00,365.71,377.87,364.33,375.0,6331500,73.142,75.574,72.866,75.0,31657500,0.0,1.0
TSLA,2018-12-17 00:00:00+00:00,348.42,365.7,343.88,362.0,7674000,69.684,73.14,68.776,72.4,38370000,0.0,1.0
TSLA,2018-12-18 00:00:00+00:00,337.03,351.55,333.69,350.54,7090000,67.406,70.31,66.738,70.108,35450000,0.0,1.0
